Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured,Insured Cost,URL,Description,Source(s),
Flood - south-eastern Australia,National,National,Flood,9/1/16,9/30/16,1,N/A,Not Available,https://knowledge.aidr.org.au/resources/flood-south-eastern-australia-2016/,"September 2016 was an exceptionally wet month across south-eastern Australia, with over twice the long-term average rainfall over inland New South Wales and Queensland, outback South Australia, north and west Victoria and the Northern Territory. This followed above-average rainfall through the preceding winter, which had already led to many catchments being saturated. The result was significant flooding in central New South Wales, western Victoria, parts of western Queensland, and areas around Adelaide.","This incident was included in the Major Incidents Report 2016-17 (Australian Institute for Disaster Resilience, 2017). The report acknowledges the following sources:

Bureau of Meteorology 2016, Monthly Weather Review Australia September 2016, prepared 15 November 2016.
Bureau of Meteorology 2017, Special Climate Statement 58 - record September rains continue wet period in much of Australia, 31 May 2017/

Additional sources:

Bureau of Meteorology 2016, 'Annual climate statement 2016'.
Bureau of Meteorology 2016, 'Australia in September 2016'.
Bureau of Meteorology, 'What is El Niño and what might it mean for Australia?'.
Bureau of Meteorology, 'What are El Niño and La Niña events?'.
Michael Perry, 'Indian Ocean linked to Australian droughts', Reuters, 6 February 2009.",
"Flood - Tasmania, 2016",Tasmania,"Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers",Flood,6/1/16,7/31/16,3,N/A,"$180,000,000",https://knowledge.aidr.org.au/resources/flood-tasmania-june-july-2016/,"Although 2016 was the warmest year on record in Tasmania, significant June rainfall caused extensive flooding in the Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse and Derwent Rivers. A subsequent flooding event in July resulted in the worst Huon River flood in twenty years.

The 2016 floods followed a similar overall rainfall pattern to the destructive floods of 1929, producing results comparable in scale and impact. 

Twenty of the state's 29 Local Government Aareas (LGAs) were impacted; the flooding was significant from the social, economic and environmental perspectives. The total recovery cost was estimated at $180 million. ","Tasmanian Government, Department of Premier and Cabinet: TASAlert, Tasmanian Flood Recovery. At: http://alert.tas.gov.au/floodrecovery/pages/default.aspx
Tasmanian Government: Tasmanian Flood Recovery Taskforce 2017, Tasmanian Flood Recovery: From floods into recovery. 
Rockliff J 2017, Anniversary of June 2016 floods a time for reflection, media release: Jeremy Rockliff, Minister for Primary Industries and Water, 5 June 2017. ",
Flood - Victoria,Victoria,Cooma (VIC),Flood,2/26/12,3/15/12,N/A,N/A,"$108,212,000.00",https://knowledge.aidr.org.au/resources/flood-victoria-2012/,"Following heavy rain on 26 February 2012, a severe weather warning for flash flooding was issued for most of Victoria, including the South West, North Central, Northern Country, Wimmera, Mallee, Central, West and South Gippsland and North-East districts.

The State Emergency Service (SES) responded to 650 calls for help across the state on the last days of February following heavy rain and thunderstorms. There was flash flooding and minor building damage across the state after rainfalls of between 50 and 100 mm. In towns such as Seymour there was 120 mm of rain, causing flash flooding and road closures. Shops in the main street of Chiltern were flooded after 94 mm of rainfall. The Goulburn Valley Highway was closed north of Seymour due to rainfall. Broken Weir near Benalla recorded the highest rainfall with 167 mm. Castlemaine received 50 mm of rain in a 90 minute period, with 11 homes and six shops flooded.

SES crews were also kept busy dealing with flash flooding at Yarrawonga, Cobram and Shepparton. There were 89 calls for help in the Ballarat area when storms dumped almost 60 mm of rain. The Daylesford Hospital had some minor flooding, and streets and at least one building were flooded in the area. There were also more than 350 calls for help in Melbourne, the hardest hit areas including Brimbank, Doncaster, Emerald and Malvern.

On 1 March 2012, the Bureau of Meteorology issued a Severe Weather Warning for heavy rain for residents in the Northern Country, East Gippsland and North East forecast districts.

In Numurkah, Broken Creek rose and flooded the town. Approximately 40 homes and businesses were damaged. The hospital was declared unsalvagable and limited services resumed from a temporary tent facility, followed by longstanding portables. Flood waters peaked on 5 March and slowly receded with a SES spokeswoman saying it would take at least a week for the water to recede completely.

In an attempt to protect the town, Nathalia locals and the SES constructed a temporary metal levee, 750 m in length, along the banks of Broken Creek with thousands of sandbags. The temporary levee was purchased after floods hit the town in 1993; it had not been used until this event and it supplements a permanent levee around much of the Nathalia stretch of Broken Creek. Notwithstanding the levee, the SES still issued an evacuation order for the town of Nathalia as some doubt existed as to the levees ability to contain the flood waters.

Flooding of Broken Creek, which borders Nathalia, peaked on 9 March at 3.25 m. The town's evacuation notice was lifted 15 March 2012 and the metal levee dismantled on 20 March 2012.

The Insurance Council of Australia estimated the 2012 damage at $108.2 million, which incorporated figures for both New South Wales and Victoria.","ABC Central Victoria, ’Flash flooding in Castlemaine and Chewton’, 28 February 2012, website viewed 29 February 2012
ABC Goulburn Murray, ‘Nathalia evacuation notice lifted’, 15 March 2012, website viewed 15 March 2012
ABC News, ‘Flash flooding closes roads, floods homes’, 28 February 2012, website viewed 28 February 2012
ABC News, ‘Nathalia on standby as flood levee compromised’, 8 March 2012, website viewed 8 March 2012
ABC News, ‘Victorian town braces for flood peak’, 7 March 2012, website viewed 7 March 2012
Bureau of Meteorology, Flood watch, 29 February 2012, website viewed 1 March 2012
Bureau of Meteorology, Severe weather warning, 1 March 2012, website viewed 1 March 2012
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 17 April 2012
The Age, ‘Army enters Barmah to contain flood risk’, 13 March 2012, website viewed 14 March 2012
The Age, ‘Homes go under at floods breach levee at Nathalia’, 8 March 2012, website viewed 8 March 2012
The Age, ‘Numurkah counting the cost of inundation as the clean-up begins’, 7 March 2012, website viewed 7 March 2012
The Age ‘Patients evacuate as floods hit hospital’, 4 March 2012, website viewed 7 March 2012",
Flood - New South Wales,New South Wales,"Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong",Flood,1/24/12,3/13/12,3,N/A,"$108,212,000.00",https://knowledge.aidr.org.au/resources/flood-new-south-wales-2012/,"The combination of a high pressure system over the southern Tasman Sea and a trough over Queensland directed moist east to north-easterly winds across New South Wales. This generated patchy rain areas and isolated thunderstorms and heavy rain over the north of the state.

Minor to major flood warnings were issued for communities on the Mid North, Coffs Harbour and North Coast of New South Wales. There were reports of 300 mm falling in the space of three days in areas of the Bellinger River Valley and the Orara River catchment.

More than 2000 people were isolated by the rising floodwaters, with a number of road closures such as at the Pacific Highway and a caravan park in a low lying area evacuated.

From the 24 - 25 January New South Wales received almost 340 mm of rain. Overnight on the 24 January, the Tweed Valley saw heavy falls with 86 mm of rain at Couchy Creek, 100 mm at Numinbah and 100 mm at Bald Mountain.

Residents were isolated in the towns of Darkwood, near Coffs Harbour, the Thora and Kalang Valleys, and in Bellingen, on the Mid North Coast, where the flooded Bellinger River cut the town in two. More than a dozen homes and businesses in Bellingen were inundated. The Bellinger River at the Bellingen Bridge peaked at around 7 m, short of the 8.2 m that constitutes major flooding.

A landslide and waterfalls blocked the Waterfall Way between Dorrigo and Bellingen. Bellingen received 180 mm of rain in the 24 hours to 9 am on 27 January.

During this time the State Emergency Services received more than 1000 calls for assistance and over 50 flood rescues occurred.

By the beginning of February more than 16,500 people across the state were isolated, with the worst areas being Gunnedah and Wee Waa. Twenty-seven aircraft worked to supply those areas isolated.

On 5 February the Namoi River peaked at over 8 m in Gunnedah and the Mehi River near Moree reached more than 10.6 m, similar to the height reached in 1976 floods. Approximately 300 homes in Moree were inundated, and 1600 people were evacuated.

The concern became from floodwaters from Queensland moving downstream to northern areas of New South Wales such as Mungindi, Walgett, Bourke, Collarenebri and Brewarrina.

On 9 February, heavy rains caused flash flooding across western Sydney and the Illawarra, with the SES receiving approximately 450 calls for assistance.

On 20 February a similar event occurred with flash flooding across Sydney and the Illawarra prompting more than 300 requests for assistance to the SES. Terry Hills recorded 61 mm in an hour and Peakhurst recorded 26 mm in just ten minutes. Other suburbs affected included Banksia, Rockdale, Padstow Heights, Sylvania, Five Dock and Rosebery.

Up to 8,000 people remained isolated for weeks in the north-west, receiving approximately 50 ton of daily deliveries such as medication, mail and food.

Heavy rains from the end of February to the beginning of March saw more than 75 per cent of New South Wales under water or threatened by floodwaters. Twenty-four hour rainfall totals to 9 am on 1 March reached up to 123 mm in Coolamon, 84 mm in Cootamundra, 83 mm in Broken Hill and widespread falls between 30 - 80 mm in the Illawarra district. Over 1700 people from the four towns of Bega, Eastgrove in Goulburn, Cooma and south-west Cowra were evacuated on 1-2 March.

Sydney's Warragamba Dam spilt at approx 6.53 pm on 2 March for the first time since 1998, causing authorities to cut power to 160 homes. The spillage prompted the evacuation of 1900 people from the Hawkesbury Nepean Valley area.
The town of Pooncarie in western New South Wales received approximately 174 mm of rain and Ivanhoe 154 mm for the 48 hours to 9 am on Thursday, breaking two-day rainfall records.

In Towamba approximately 367 people were isolated following the closure of the Princes Highway. The SES responded to more than 740 requests for help as the large, slow-moving trough set in.  Approximately 4600 people across the state were subject to evacuation orders and 2500 people were isolated, mostly on rural properties.

Approximately 9,000 people were evacuated from Wagga Wagga and a state of emergency was declared as the town's flood levee was tested by a peak of 10.6 m on 6 March, risking inundation of more than 3000 properties.

Evacuations continued throughout the first week of March with approximately 236 people door knocked in the Lachlan River area, 600 people ordered to evacuate in Griffith, and flood evacuation orders issued for Forbes, Flowerdale, Urana, Barellan, Yenda, North Wagga, Gillenbah and parts of Gumly Gumly. The town of Forbes was cut in three by floodwaters, inundating dozens of businesses and homes in the CBD.
More than 400,000 sandbags were distributed across New South Wales to protect communities from floodwaters.

The New South Wales Government declared 63 natural disaster zones during the February/March floods for the Albury, Balranald, Bathurst, Bega Valley, Berrigan, Bland Shire, Blacktown, Blayney, Bogan, Bombala, Boorowa, Broken Hill, Cobar, Cabonne, Carrathool, Central Darling, Conargo, Coolamon, Cooma-Monaro, Cootamundra, Corowa, Cowra, Forbes, Goulburn, Greater Hume, Griffith, Gundagai, Harden, Hawkesbury, The Hills, Hay, Jerilderie, Junee, Lachlan, Leeton, Lithgow, Lockhart, Mid-western, Murray, Murrumbidgee, Narrandera, Narromine, Oberon, Palerang, Parkes, Penrith, Queanbeyan, Shellharbour, Shoalhaven, Snowy River, Temora, Tumbarumba, Tumut, Mid Western Regional, Unincorporated Area of NSW, Upper Hunter, Upper Lachlan, Urana, Wagga Wagga, Weddin, Wentworth, Wollongong, Yass and Young local government areas.

Approximately 30 towns across the state's north-east were inundated, leaving 1000 properties isolated. Almost 2000 homes were flooded and more than 17,000 people requested emergency assistance.

On 12 March the Insurance Council of Australia stated that insurers had already received claims totalling more than $64 million from flood-affected homeowners in Victoria and New South Wales. Insurers received 8,200 claims across the declared catastrophe zone.
 
On 31 January one person drowned when they attempted to drive through floodwaters 1.6 m deep.

On 4 March one person died and two others were admitted to hospital with hypothermia and severe bruising after their four wheel drive was caught in a swollen causeway near Braidwood in the Southern Tablelands.

On 9 March one person was found dead in floodwaters north of Bourke, and their vehicle partially submerged in a causeway.

To date the Australian Government Disaster Recovery Payments total approximately $17,256,000 allocated to 14,834 claimants  affected in the northern part of the state and $29,991,000 was allocated to pay over 28,860 claimants affected by flood in the southern New South Wales region.

The Insurance Council of Australia estimated the 2012 damage at $108.2 million which incorporated figures for both New South Wales and Victoria.","ABC News, Various articles, 24 January – 13 March 2012, websites viewed January - March 2012
Bureau of Meteorology, ‘National warnings summary’, 31 January 2012, website viewed 1 February 2012
Bureau of Meteorology, New South Wales, Severe Weather Warning, 1 March 2012, website viewed 1 March 2012
Courier Mail, ‘Natural disaster zones declared in NSW after flooding’, 30 January 2012, website viewed 31 January 2012
Financial Review, ‘Flood to cost hundreds of millions: NSW govt’, 9 February 2012, website viewed 14 February 2012
Ministry for Police and Emergency Services, Current disaster declarations, 3 February 2012, website viewed 3 February 2012
Ministry for Police and Emergency Services, Current disaster declarations, 2012, website viewed 15 March 2012
News.com.au, ‘Cruel reign of rain for residents in Sydney's west and the Illawarra with more to come’, 11 February 2012, website viewed 14 February 2012
State Emergency Services, Flooding continues around NSW, 7 February 2012, website viewed 7 February 2012
State Emergency Services, NSW SES Flood and Severe Thunderstorm Update, 27 January 2012, website viewed 1 February 2012
State Emergency Services, Update to the Northern NSW floods, 27 January 2012, website viewed 1 February 2012
The Age, Various articles, 31 January – 7 March, websites viewed January – March 2012
The Australian, Various articles, 16 February - 10 March 2012, websites viewed February – March 2012
The Courier Mail, ‘400,000 sandbags sent to NSW flood areas’, 9 march 2012, website viewed 13 March 2012
The Courier Mail, ‘NSW properties evacuated amid downpours’, 1 March 2012, website viewed 2 March 2012
The Daily Telegraph, Various articles, 9 February – 12 March 2012, websites viewed February – March 2012
The Herald Sun, ‘Almost 5000 evacuated as floods continue’, 5 March 2012, website viewed 6 March 2012
The Sydney Morning Herald, Various articles, 25 January - 10 February 2012, websites viewed January – February 2012",
Flood - Queensland,Queensland,"Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa",Flood,1/24/12,3/13/12,1,N/A,"$124,688,000.00",https://knowledge.aidr.org.au/resources/flood-queensland-2012/,"From 24 January 2012, south-east Queensland experienced very high rainfall across the region with totals up to 200 mm recorded in a 24 hour period.  Floods occurred in some areas and homes were evacuated, power outages occurred and several roads were closed.

The State Emergency Service (SES) received approximately 500 requests for assistance between midnight and 4 pm across south-east Queensland. The SES efforts focused on the north side of Brisbane, in Boondall, Zillmere, Herston and Aspley. Most requests for assistance were for minor damage to properties and general storm damage.
 
On 24 January, evacuation centres were opened at Narangba and Deception Bay, north of Brisbane. Twelve homes were evacuated as a precaution at Burpengary, north of Brisbane, and another dozen homes were flooded further north on the Sunshine Coast. Power was cut to approximately 9500 homes and businesses across the south-east. Upper Springbrook recorded some of the heaviest rain falls, with 193 mm in the 12 hours to 6 am. Lower Springbrook recorded 173 mm, Upper Tallebudgera 142 mm and 127 mm at Mt Tamborine. Brisbane city and suburbs had between 80 and 120 mm of rain and Caloundra on the Sunshine Coast recorded 271 mm in just ten hours.

Thirteen dams across south-east Queensland began spilling water to cope with the deluge, which included 220 mm falls over 30 hours in some parts.

The State Emergency Services received more than 650 calls for assistance on the morning of 27 January.

On 3 February, a state of emergency was declared in Mitchell and approximately a quarter of the population was evacuated. The Queensland Government requested assistance from the Australian Defence Force to provide aerial support and aid evacuations. The Maranoa River reached 9.85 m, breaking its 1956 record peak of 9.26 m. Almost half the population took refuge in a sports complex and when the flood threatened to isolate the complex, helicopters were sent in to air-lift people to safety.

By 4 February, the Warrego River in Charleville reached 7.7 m and over 280 homes were inundated when floodwaters in Roma peaked at 8.35 m. Approximately 50 per cent of homes experienced some form of inundation. More than 700 homes or businesses in the region needed assistance, and more than 440 were damaged with approximately 288 properties affected in Mitchell and 290 affected in Roma. One hundred and twenty Australian Defence Force soldiers assisted with the clean up in these regions.

On 5 February, mandatory evacuations were ordered for St George after it was predicted the Balonne River would peak at up to 15 m. With more than 2600 people from a population of 3000 evacuated, it was Queensland’s largest evacuation in history. The Balonne River in St George passed its previous record of 13.48 m, peaking at 13.93 m, but the township remained protected by its 14.5 m levee with damage restricted to the 50 homes. St George also faced pollution problems as floodwaters damaged the local sewerage treatment plant, posing a major public health risk.

At the beginning of March, a category 1 cyclone off the south-east coast caused further flooding and six evacuation centres were opened across the coast to assist evacuated and displaced people.

One person died on 5 March after being swept away by waters near Gympie, north of Brisbane.

The National Disaster Relief and Recovery Arrangements (NDRRA) identified 22 local government areas as natural disaster zones. The Australian Government Disaster Recovery Payments totalled approximately $12,615,200.

The Insurance Council of Australia estimated the preliminary 2012 damage at $124.7 million.","AAP, ‘Queensland hit by heavy storms’, 24 January 2012, website viewed 25 January 2012
ABC News, Various articles, 25 January – 11 February 2012, websites viewed January and February 2012
Bureau of Meteorology, ‘National warnings summary’, 31 January 2012, website viewed 1 February 2012
Emergency Management Queensland, Update on Flooding in south-west Queensland, 3 February 2012, website viewed 3 February 2012
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 17 April 2012
Insurance News, ‘Too early to tell costs of latest Queensland floods’, 6 February 2012, website viewed 7 February 2012
State Emergency Services, Natural disaster extended to Gunnedah, 3 February 2012, website viewed 3 February 2012
Sydney Morning Herald, ‘Anxious wait for northern towns as heavens overload rivers’, 25 January 2012, website viewed 25 January 2012
Sydney Morning Herald, ‘South-east Queensland braces for more rain’, 24 January 2012, website viewed 25 January 2012
The Age, ‘Walwa evacuated as flood water rises’, 5 March 2012, website viewed 6 March 2012
The Australian, ‘Boy feared drowned as freak weather lashes eastern states’, 25 January 2012, website viewed 25 January 2012
The Australian, ‘Cyclone brews as waters turn deadly’, 6 March 2012, website viewed 6 March 2012
The Australian, ‘Mass evacuations as big wet turns to lethal threat’, 4 February 2012, website viewed 6 February 2012
The Canberra Times, ‘More rain coming, flash flood warnings’, 9 February 2012, website viewed 14 February 2012
The Courier Mail, ‘St George set to dodge flood bullet as Balonne River peaks lower than expected’, 7 February 2012
The Daily Telegraph, ‘Severe storm alert for flood-hit towns’, 7 February 2012, website viewed 8 February 2012",
Flood - Northern NSW - Moree,New South Wales,"Moree (NSW) , Narrabi , Tamworth",Flood,11/27/11,12/4/11,1,N/A,Not Available,https://knowledge.aidr.org.au/resources/flood-moree-new-south-wales-2011/,"On 27 November 2011, heavy rainfall occurred in the northern inland areas of New South Wales. Flood warnings were issued for the Macleay, Severn, Macintyre, Gwydir, Mehi, Namoi and Peel Rivers.

New South Wales State Emergency Service volunteers prepared Wee Waa with food and emergency supplies, with predictions that the swollen Namoi River would isolate the town for some days. The rising waters made the roads in Wee Waa inaccessible to all but four-wheel drive vehicles. Water levels exceeded 6 m around 9:00 am on 27 November, before reaching 7 m on 29 November with major flooding.

Approximately 300 properties were isolated in Moree and the town was cut in two after rising waters forced the closure of the local bridge. More properties were cut off in Gunnedah and the village of Garah, as waters in the Namoi, Gwydir, Peel and Mehi Rivers continued to rise. One person drowned after being pulled into a storm water drain in Bingara, near Inverell.

As the flood waters subsided and moved downstream, the Department of Primary Industries were able to assess the flood damage. Hundreds of livestock, mainly sheep, died with most of the losses occurring between Garah and Weemelah.

It was estimated that approximately $52 million in flood damage occurred to the cotton industry in the Gwydir Valley. The local growers' association says initial estimates were based on around 18,000 hectares, with up to 30 per cent of the dryland crop and five per cent of irrigated crop being damaged.

On 1 December 2011, the New South Wales Government gave natural disaster declarations to Moree Plains, Inverell, Armidale, Gunnedah, Narrabri, Gwydir, Muswellbrook, Liverpool Plains, Tamworth and the Upper Hunter Shire Councils.","ABC Mid North Coast NSW, ‘Floodwaters recede across mid-north coast’, 28 November 2011, website viewed 1 December 2011
ABC News, ‘Namoi River flooding continues’, 2 December 2011, website viewed 6 December 2011
ABC News, ‘NSW towns facing days of isolation’, 27 November 2011, website viewed 28 November 2011
ABC Rural Report, 5 December 2011, website viewed 6 December 2011
Ministry for Police and Emergency Services, More natural disaster declarations for Northern NSW, 1 December 2011, website viewed 6 December 2011
NSW Government, State Emergency Service, All clear for residents north of Iris Street, Moree, 29 November 2011, website viewed 30 November 2011
NSW Government, State Emergency Service, Flood watch issued for Namoi, Peel, Severn, Upper Macintyre Gwydir and Hunter river valleys, 30 November 2011, website viewed 30 November 2011
The Australian, ‘Roads closed as flood evacuations are urged in northern NSW town of Moree’, 28 November 2011, website viewed 30 November 2011",
Flood - Victoria ,Victoria,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",Flood,1/12/11,1/18/11,N/A,N/A,"$122,465,000.00",https://knowledge.aidr.org.au/resources/flood-victoria-2011/,"On 13 and 14 January 2011, large amounts of tropical air combined with a low pressure trough brought heavy rain to areas of south-east Australia. The heaviest rain spread into Victoria, resulting in record rainfall in parts of west and north-west Victoria. This, combined with saturated conditions of the catchment and floodplains, caused severe flooding.

Jeparit recorded the highest daily rainfall of 161.2 mm, with seven other monitoring stations breaking their highest daily rainfall records. Weather stations at Kyneton, Annuello, Rupanyup and Maryborough observed their highest ever rainfall total for anymonth on record.

The Wimmera, Avoca, Loddon and Campaspe river catchment areas all reached record flood peaks. The Barwon catchment and the Lerderderg River in the Werribee catchment also experienced major flooding. The towns of Charlton, Bridgewater, Carisbrook, Rochester, Horsham and Echuca experienced the greatest levels of inundation.

The flooding of the Goulburn River resulted in the drowning of a person in a flooded billabong near Shepparton.

The Insurance Council of Australia estimated the preliminary 2011 damage at $126 million.","Information Sources
Bureau of Meteorology, SPECIAL CLIMATE STATEMENT 24; Frequent heavy rain events in late 2010/early 2011 lead to widespread flooding across eastern Australia. First Issued 7th January 2011, Updated 25th January 2011
Bureau of Meteorology, SPECIAL CLIMATE STATEMENT 26; Record wet January brings unprecedented flooding to northwest Victoria. First Issued 21st January 2011, Updated 25th February 2011
Department of Sustainability and Environment website, New maps show severity of floods in Victoria, 4 March 2011, viewed 24.03.2011
Victorian Government, Office of Water website, Victorian Floods January 2011, viewed 24.03.2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012",
"Flood - Warum, Kimberly",Western Australia,Kimberly,Flood,3/10/11,3/14/11,N/A,N/A,"$17,500,000.00",https://knowledge.aidr.org.au/resources/flood-warmun-kimberley-2011/,"Between 10 -14 March 2011, the central and eastern Kimberley regions of Western Australia experienced extremely heavy rainfall, with more than 700 mm falling during the month over the Kimberley Plateau, caused by an active monsoon trough. A further slow moving tropical low caused extensive flood damage to infrastructure across the Fitzroy, Ord and Pentecost River catchments areas.

A number of towns in the Kimberley region broke their highest March rainfall records including Warmun, Yulmbu and Gibb River.

In the east Kimberley town of Warmun up to 500 people were evacuated when the town's 76 houses were either destroyed or deemed uninhabitable through flood inundation. Within days more than 290 members of the Warmun community were evacuated to the Ord Stage II Camp (Garrjang) in Kununurra.

The Western Australian state government immediately pledged the initial sum of $500,000 to contribute toward the rebuilding of the town. The state government further contributed $15 million to construct a 200 bed temporary accommodation for the community. The federal government committed to reimburse 50 per cent of the cost through the National Disaster Relief and Recovery Arrangements. 

The Department of Housing allocated $9.5 million to repair the damaged roads and create new roads to the newly built replacement homes. The town also received more than $8 million from the Federal Government to help with recovery. The funding would be provided over two years under the Community Development Employment Projects program. Funds were allocated towards projects to enhance the economic and social development of the community, such as rebuilding and creating opportunities for locals to develop work skills to contribute to their community.","ABC News, ‘$9.5m paves way for new Warmun roads’, 21 September 2012, website viewed 17 December 2012
ABC News, ‘Arts centre scores flood insurance win’, 16 June 2011, website viewed 17 December 2012
ABC News, ‘Commonwealth to help fund Warmum rebuild’, 23 April 2011, website viewed 17 December 2012
ABC News, ‘Warmun flood risk remains’, 21 November 2012, website viewed 17 December 2012
ABC News, ‘Warmun marks floods anniversary’, 13 March 2012, website viewed 17 December 2012
Bureau of Meteorology, ‘ Western Australia in March 2011: Cool and wet in the north, but hot and dry in the southwest’, 1 April 2011, website viewed 19 December 2012
Hames, K (Deputy Premier) 2011, ‘Warmun flood declared a disaster, all residents safe’, media release, Western Australian Deputy Premiers office, 17 March, website viewed 17 December 2012
Macklin J (Minister for Families, Community Services and Indigenous Affairs, Minister for Disability Reform) 2011, media release, ‘Further funding support for Warmun’, 26 April, website viewed 17 December 2012
McClelland R, (Attorney-General) 2011, ‘Commonwealth Assistance for Warmun in Western Australia’, media release, Western Australian Deputy Premiers office, 21 April, website viewed 17 December 2012
WA today, ‘Devastated Warmun bolstered with funds’, 22 March 2011, website viewed 17 December 2012",
Flood - Queensland,Queensland,Brisbane,Flood,11/30/10,1/17/11,33,N/A,"$2,380,000,000.00",https://knowledge.aidr.org.au/resources/flood-queensland-2010-2011/,"In late November 2010, rain began falling in Queensland. By January 2011, extensive flooding had impacted 75 per cent of the state and a disaster zone was declared. In total, 33 people lost their lives, with three bodies never recovered and declared deceased by the State Coroner in June 2012. Evacuations numbers totaled 5 900 people from 3 600 homes. An estimated 28 000 homes were in need of rebuilding; scores more would require extensive repairs. The final report of a judicial inquiry into the event was published in March 2012.

The economic and commercial impact of the floods was significant. Approximately 3 572 businesses were inundated, with an estimated $4 billion in losses across the mining, agriculture and tourism sectors. Nineteen thousand kilometres of road were damaged, and three major ports significantly affected. Over 28 per cent of the Queensland rail network was left twisted and displaced. 

The Insurance Council of Australia estimates the 2011 damage at $2.38 billion.

Affected areas

On 25 December 2010, Cyclone Tasha crossed the northern Queensland coast and brought disaster to every river system south of the Tropic of Capricorn, and as far west as Longreach and Charleville. The flooding engulfed Alpha, Jericho, Chinchilla, Dalby, Theodore, Warwick, Bundaberg, Gayndah, Munduberra, Emerald, Rockhampton, Condamine and St George. The Condamine River, the Balonne River, the Burnett River, the Comet River, the Dawson River and the Nagoa River reached flood peaks never before recorded.

On 10 January 2011, a wall of water swept through Toowoomba, then travelled west, flooding Oakey, Dalby, Chinchilla and Condamine for a second time. This caused flooding through the Lockyer Valley, including Murphy’s Creek, Postman’s Ridge, Helidon, Grantham, Laidley, Lowood, Fernvale and Forrest Hill.

The floodwaters affected the Bremer, Lockyer and Brisbane River systems, reaching heights that engulfed Ipswich, Goodna, Gailes, Karalee and suburbs of Brisbane.","AAP General News Wire Sydney, ‘QLD Floods inquiry holds first hearing,’ viewed on ProQuest website (ID 2261830321), 10 February 2011
Anna Bligh, Premier and Minister for the Arts, media release 15 February 2011, website viewed 10 February 2011
Insurance Council of Australia, 'Historical disaster statistics,' 21 April 2011, website viewed 17 February 2011
The Age, ‘Floods bill balloons to $20b,’ 18 January 2011, website viewed 18 January 2011",
Flood - Gascoyne river,Western Australia,Gascoyne River,Flood,12/16/10,12/18/10,N/A,N/A,"$90,000,000.00",https://knowledge.aidr.org.au/resources/flood-gascoyne-river-western-australia/,"From 16 to 18 December 2010, heavy rainfall in the Gascoyne River catchment caused major flooding, with falls in excess of 250-300 mm in a 24-hour period.

Highest river levels on record were measured at three of the five river gauging stations along the Gascoyne River. The flood caused significant soil erosion, with extensive damage caused to crops and infrastructure. Homes and homesteads in the nearby towns of Carnarvon and Gascoyne Junction were flooded and the 100 year-old local pub was washed away. At least 2000 cattle drowned.

Western Australia’s Department of Agriculture and Food estimated the damage to be $90 million.
","From 16 to 18 December 2010, heavy rainfall in the Gascoyne River catchment caused major flooding, with falls in excess of 250-300 mm in a 24-hour period.

Highest river levels on record were measured at three of the five river gauging stations along the Gascoyne River. The flood caused significant soil erosion, with extensive damage caused to crops and infrastructure. Homes and homesteads in the nearby towns of Carnarvon and Gascoyne Junction were flooded and the 100 year-old local pub was washed away. At least 2000 cattle drowned.

Western Australia’s Department of Agriculture and Food estimated the damage to be $90 million.
",
Flood - Queensland ,Queensland,"Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah",Flood,2/28/10,3/5/10,N/A,N/A,"$46,700,000.00",https://knowledge.aidr.org.au/resources/flood-queensland-2010/,"In the last week of February through to the first week of March 2010, Queensland, Central Australia and Northern New South Wales experienced unprecedented rainfall and serious flooding in several regions. Queensland recorded the highest state wide average rainfall on 2 March, with 31.74 mm.

As a result, the heavy deluge brought about widespread flooding to numerous rivers including Paroo, Moonie, Balonne, Dawson, Theodore, Moura, Maranoa, Warrego, Diamantina, Bulloo, Condamine, Weir, Mary, Burnett, and Comet. This had a devastating impact on infrastructure including roads, railways and bridges, as well as agriculture and horticulture industries including farms, crops and livestock.

The Insurance Council of Australia estimated the 2010 damage at $46.7 million, with the 2011 estimated normalised cost of $49 million.","Bureau of Meteorology, Queensland flood summary 2010 -onwards, website viewed 13 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012",
